epoch,loss,sparse_categorical_accuracy
0,0.10827625005184478,0.9693241
1,0.028910200897015837,0.99083483
2,0.027446688204203585,0.9911313
3,0.026552725049956885,0.99133205
4,0.025665775038206825,0.9915456
5,0.025240798354613316,0.99169594
6,0.0246798759648789,0.9918426
7,0.023834436170570475,0.99205095
8,0.0228752705109036,0.99225605
9,0.022561839029212254,0.99237126
10,0.022495551078701912,0.9923513
11,0.02225928546870088,0.99244475
12,0.022093850904239615,0.9925107
13,0.022018186811638033,0.9925044
14,0.02193534438939409,0.99254435
15,0.021790890341706497,0.9926231
16,0.02174918070836544,0.9925794
17,0.02175387591354998,0.9926099
18,0.02163066115398311,0.992628
19,0.021644885181430828,0.9926679
20,0.02150331559580549,0.99265414
21,0.02153996483225983,0.99265546
22,0.02143963698644789,0.9926798
23,0.021246663840999394,0.99278903
24,0.020944907604564047,0.9928436
25,0.020868582037152018,0.99283177
26,0.020854248236144776,0.99286455
27,0.020809161047301867,0.99285305
28,0.02079275840797446,0.99287677
29,0.020680393403440248,0.9928845
30,0.020698882280807747,0.9929159
31,0.020625725695241556,0.9929107
32,0.020700019126759953,0.9929165
33,0.020703322420755777,0.9928719
34,0.02053682005421461,0.99295926
35,0.02071488358165792,0.9929391
36,0.020589983815147688,0.99291575
37,0.020481794134022582,0.9929979
38,0.020453249726216538,0.9929977
39,0.020487799335328138,0.99296004
40,0.02049550175233403,0.9929466
41,0.02054110158284949,0.992938
42,0.020398645336732864,0.9929964
43,0.020397059080201903,0.99293834
44,0.02041316900386656,0.9929719
45,0.020417638952725744,0.99295586
46,0.02029462027997083,0.99301744
47,0.02028208721028558,0.9930143
48,0.02038129210535992,0.992995
49,0.02037097438811448,0.99303424
50,0.020369765201065163,0.9929956
51,0.020355013465578393,0.992944
52,0.02041412348228648,0.99294215
53,0.020385861465448525,0.9929591
54,0.020262175726345685,0.9930416
55,0.020364358158928054,0.9930169
56,0.02031334609192028,0.99302554
