epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.12530875946492306,0.9738651,0.01759082936578463,0.9954701
1,0.0176256329512472,0.9948265,0.017076636248858187,0.9954631
2,0.017253898091198594,0.994847,0.017155203706950714,0.99544936
3,0.017071033927582312,0.99486303,0.017123618204914735,0.9954464
4,0.016874272220486267,0.994908,0.017123838673979416,0.99545455
5,0.016752954676793122,0.99491245,0.01701788526989656,0.99544674
6,0.01666073285692578,0.9949148,0.016885825891273108,0.99552643
7,0.016598610605840267,0.99491894,0.01692035476352588,0.9955268
8,0.016564040845061672,0.994928,0.016738855492616802,0.9955668
9,0.016496968929131033,0.9949372,0.016854579387475862,0.99551344
10,0.01642714111554067,0.9949285,0.016702331879221006,0.9955505
