system:index,b1,distance,elevation,fmask,impervious,landcover,mndwi,percent_tree_cover,percent_tree_error,transition,.geo
0,10,62002,213.06680297851562,0,0,82,0,0,2,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.87649810931268,41.93881755455983]}"
1,10,2147483647,234.57164001464844,1,0,71,0,7,9,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.68641360574466,41.67159454020316]}"
2,10,2147483647,228.7546844482422,0,0,82,0,0,2,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.84699567905606,40.94451646013501]}"
3,10,20765,208.11309814453125,1,0,82,0,13,13,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.71338036017063,41.27258342626441]}"
4,8,17586,200.90182495117188,1,0,81,0,4,7,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.47778206523463,42.36134032435773]}"
5,10,2147483647,223.6234588623047,0,0,82,0,0,1,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.34271527757211,41.10219477947563]}"
6,10,36941,237.45550537109375,,0,82,0,0,2,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.48970011199093,41.14573390764177]}"
7,10,2147483647,224.19029235839844,1,0,71,0,0,1,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.50779203134694,41.35950931748484]}"
8,10,2147483647,191.68702697753906,1,0,82,0,5,10,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.67650699381146,41.081482803439464]}"
9,10,319537,203.43331909179688,1,0,82,0,9,12,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.71845029372975,41.21705945707137]}"
10,19,2147483647,193.96299743652344,1,0,71,0,13,14,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.5053595618878,41.78524545374857]}"
11,10,2147483647,342.4889831542969,1,0,82,0,0,2,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.54099623481773,42.65827981367428]}"
12,10,2147483647,299.0863952636719,1,0,82,0,0,1,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-92.04307859050816,42.597969350142854]}"
13,8,60752,185.8862762451172,,0,81,0,21,18,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.11011593160525,42.1435396666408]}"
14,10,2147483647,224.63717651367188,1,0,82,0,5,10,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.50785158318257,41.98927068171144]}"
15,13,2147483647,217.1732177734375,0,29,22,0,0,2,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.52767185266015,40.98805250810046]}"
16,10,34225,261.090087890625,0,0,82,0,0,1,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.94555685532181,41.65995056058945]}"
17,10,2147483647,222.57359313964844,1,0,82,0,0,0,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.80993250955649,40.80325873588552]}"
18,10,2147483647,243.50228881835938,1,0,82,0,0,2,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-91.98278976739861,41.07451845391807]}"
19,17,13320,197.39002990722656,,22,22,0,36,18,,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.32649957510516,41.60588783652608]}"
